15	10	E	-9537865.365447113	142
transitionprobs	11	11	0.646867301508852
transitionprobs	11	12	0.1654755627879317
transitionprobs	11	13	0.0033617903228748574
transitionprobs	11	14	9.149045130419687E-4
transitionprobs	11	15	0.05622682637326035
transitionprobs	12	1	0.0
transitionprobs	12	2	6.467063246751222E-4
transitionprobs	12	3	0.0
transitionprobs	12	4	0.0
transitionprobs	12	5	0.0
transitionprobs	12	6	0.0
transitionprobs	12	7	0.010602012491970656
transitionprobs	12	8	1.4091667777525168E-4
transitionprobs	12	9	1.0834665243274847E-4
transitionprobs	12	10	4.998172198702188E-6
transitionprobs	12	11	0.0038258982486931545
transitionprobs	12	12	0.9781511996276473
transitionprobs	12	13	5.957220757020976E-4
transitionprobs	12	14	6.074383193638888E-4
transitionprobs	12	15	0.005316761409540977
transitionprobs	13	1	0.0
transitionprobs	13	2	2.3436803735215586E-5
transitionprobs	13	3	0.0
transitionprobs	13	4	4.833232653963629E-7
transitionprobs	13	5	0.0
transitionprobs	13	6	2.8265002278811376E-8
transitionprobs	13	7	0.0
transitionprobs	13	8	0.0
transitionprobs	13	9	0.0
transitionprobs	13	10	0.0
transitionprobs	13	11	8.133561484896198E-5
transitionprobs	13	12	6.687679222202324E-4
transitionprobs	13	13	0.9986245851467435
transitionprobs	13	14	6.013629241842833E-4
transitionprobs	13	15	0.0
transitionprobs	14	1	0.0021500691529472305
transitionprobs	14	2	0.01405881310902835
transitionprobs	14	3	4.983108771776076E-4
transitionprobs	14	4	5.008592382480414E-5
transitionprobs	14	5	0.0
transitionprobs	14	6	6.719408166511784E-4
transitionprobs	14	7	0.0018626569942579781
transitionprobs	14	8	0.0013426015557979158
transitionprobs	14	9	1.4759464285383171E-4
transitionprobs	14	10	0.0020642377104967504
transitionprobs	14	11	0.001014339327064873
transitionprobs	14	12	0.040593446262558425
transitionprobs	14	13	0.03455165338660776
transitionprobs	14	14	0.8995919217458813
transitionprobs	14	15	0.0014023284948520712
transitionprobs	15	1	0.0
transitionprobs	15	2	0.0
transitionprobs	15	3	2.466608974743656E-6
transitionprobs	15	4	0.0
transitionprobs	15	5	0.0
transitionprobs	15	6	0.0
transitionprobs	15	7	2.5573949520712753E-4
transitionprobs	15	8	0.0
transitionprobs	15	9	0.0
transitionprobs	15	10	0.0
transitionprobs	15	11	0.006976349521512863
transitionprobs	15	12	0.02885945683059823
transitionprobs	15	13	1.0884582608990591E-7
transitionprobs	15	14	1.2129133632261005E-4
transitionprobs	15	15	0.9637845873615584
emissionprobs	1	0	H2AFZ	0	0.9811686728207706
emissionprobs	1	0	H2AFZ	1	0.018831327179229404
emissionprobs	1	1	H3K27AC	0	0.9916856065250697
emissionprobs	1	1	H3K27AC	1	0.00831439347493036
emissionprobs	1	2	H3K27ME3	0	0.9986785083195097
emissionprobs	1	2	H3K27ME3	1	0.0013214916804903522
emissionprobs	1	3	H3K36ME3	0	0.6748436493304436
emissionprobs	1	3	H3K36ME3	1	0.32515635066955634
emissionprobs	1	4	H3K4ME1	0	0.9956468813128512
emissionprobs	1	4	H3K4ME1	1	0.004353118687148813
emissionprobs	1	5	H3K4ME2	0	0.9996117005919761
emissionprobs	1	5	H3K4ME2	1	3.882994080237703E-4
emissionprobs	1	6	H3K79ME2	0	0.9433810737020051
emissionprobs	1	6	H3K79ME2	1	0.05661892629799487
emissionprobs	1	7	H3K9AC	0	0.9875140452694438
emissionprobs	1	7	H3K9AC	1	0.01248595473055628
emissionprobs	1	8	H3K9ME3	0	0.9953975262680168
emissionprobs	1	8	H3K9ME3	1	0.004602473731983107
emissionprobs	1	9	H4K20ME1	0	0.9959607139592047
emissionprobs	1	9	H4K20ME1	1	0.004039286040795283
emissionprobs	2	0	H2AFZ	0	0.9842188933592733
emissionprobs	2	0	H2AFZ	1	0.015781106640726753
emissionprobs	2	1	H3K27AC	0	0.9982867446415216
emissionprobs	2	1	H3K27AC	1	0.0017132553584784812
emissionprobs	2	2	H3K27ME3	0	0.9988988091505432
emissionprobs	2	2	H3K27ME3	1	0.0011011908494568117
emissionprobs	2	3	H3K36ME3	0	0.9584296980741268
emissionprobs	2	3	H3K36ME3	1	0.0415703019258732
emissionprobs	2	4	H3K4ME1	0	0.9961463107911875
emissionprobs	2	4	H3K4ME1	1	0.003853689208812558
emissionprobs	2	5	H3K4ME2	0	0.9994673581310152
emissionprobs	2	5	H3K4ME2	1	5.326418689847982E-4
emissionprobs	2	6	H3K79ME2	0	0.9634000236198368
emissionprobs	2	6	H3K79ME2	1	0.03659997638016324
emissionprobs	2	7	H3K9AC	0	0.9936211467245553
emissionprobs	2	7	H3K9AC	1	0.006378853275444691
emissionprobs	2	8	H3K9ME3	0	0.996999881228014
emissionprobs	2	8	H3K9ME3	1	0.003000118771985996
emissionprobs	2	9	H4K20ME1	0	0.9965241766566298
emissionprobs	2	9	H4K20ME1	1	0.003475823343370163
emissionprobs	3	0	H2AFZ	0	0.9809105325106053
emissionprobs	3	0	H2AFZ	1	0.01908946748939475
emissionprobs	3	1	H3K27AC	0	0.9906278594898112
emissionprobs	3	1	H3K27AC	1	0.009372140510188736
emissionprobs	3	2	H3K27ME3	0	0.9983925298847941
emissionprobs	3	2	H3K27ME3	1	0.0016074701152059214
emissionprobs	3	3	H3K36ME3	0	0.9018784947273429
emissionprobs	3	3	H3K36ME3	1	0.09812150527265708
emissionprobs	3	4	H3K4ME1	0	0.9846921075037665
emissionprobs	3	4	H3K4ME1	1	0.015307892496233612
emissionprobs	3	5	H3K4ME2	0	0.9988991681374576
emissionprobs	3	5	H3K4ME2	1	0.0011008318625423399
emissionprobs	3	6	H3K79ME2	0	0.24822947807281934
emissionprobs	3	6	H3K79ME2	1	0.7517705219271806
emissionprobs	3	7	H3K9AC	0	0.9890346228884807
emissionprobs	3	7	H3K9AC	1	0.010965377111519367
emissionprobs	3	8	H3K9ME3	0	0.9892666383627119
emissionprobs	3	8	H3K9ME3	1	0.010733361637288073
emissionprobs	3	9	H4K20ME1	0	0.9764185615689557
emissionprobs	3	9	H4K20ME1	1	0.023581438431044294
emissionprobs	4	0	H2AFZ	0	0.9458682675970449
emissionprobs	4	0	H2AFZ	1	0.05413173240295517
emissionprobs	4	1	H3K27AC	0	0.8230606508883094
emissionprobs	4	1	H3K27AC	1	0.1769393491116906
emissionprobs	4	2	H3K27ME3	0	0.9966281577763633
emissionprobs	4	2	H3K27ME3	1	0.0033718422236368017
emissionprobs	4	3	H3K36ME3	0	0.8740917717376756
emissionprobs	4	3	H3K36ME3	1	0.1259082282623243
emissionprobs	4	4	H3K4ME1	0	0.6025053689943479
emissionprobs	4	4	H3K4ME1	1	0.3974946310056522
emissionprobs	4	5	H3K4ME2	0	0.6611694799404517
emissionprobs	4	5	H3K4ME2	1	0.3388305200595481
emissionprobs	4	6	H3K79ME2	0	0.04671650212418128
emissionprobs	4	6	H3K79ME2	1	0.9532834978758187
emissionprobs	4	7	H3K9AC	0	0.9117843809193811
emissionprobs	4	7	H3K9AC	1	0.08821561908061894
emissionprobs	4	8	H3K9ME3	0	0.9910710644983335
emissionprobs	4	8	H3K9ME3	1	0.008928935501666511
emissionprobs	4	9	H4K20ME1	0	0.9355130412919977
emissionprobs	4	9	H4K20ME1	1	0.06448695870800221
emissionprobs	5	0	H2AFZ	0	0.9025698848424377
emissionprobs	5	0	H2AFZ	1	0.09743011515756218
emissionprobs	5	1	H3K27AC	0	0.10032044941110212
emissionprobs	5	1	H3K27AC	1	0.8996795505888978
emissionprobs	5	2	H3K27ME3	0	0.9940390288738111
emissionprobs	5	2	H3K27ME3	1	0.005960971126188903
emissionprobs	5	3	H3K36ME3	0	0.8616638046291419
emissionprobs	5	3	H3K36ME3	1	0.13833619537085798
emissionprobs	5	4	H3K4ME1	0	0.12905783824938497
emissionprobs	5	4	H3K4ME1	1	0.870942161750615
emissionprobs	5	5	H3K4ME2	0	0.17865000494260694
emissionprobs	5	5	H3K4ME2	1	0.8213499950573931
emissionprobs	5	6	H3K79ME2	0	0.07366669702455723
emissionprobs	5	6	H3K79ME2	1	0.9263333029754427
emissionprobs	5	7	H3K9AC	0	0.4297667152792954
emissionprobs	5	7	H3K9AC	1	0.5702332847207047
emissionprobs	5	8	H3K9ME3	0	0.9873566192709032
emissionprobs	5	8	H3K9ME3	1	0.012643380729096727
emissionprobs	5	9	H4K20ME1	0	0.9093471405733281
emissionprobs	5	9	H4K20ME1	1	0.09065285942667191
emissionprobs	6	0	H2AFZ	0	0.9428707138169542
emissionprobs	6	0	H2AFZ	1	0.057129286183045816
emissionprobs	6	1	H3K27AC	0	0.7348636889111931
emissionprobs	6	1	H3K27AC	1	0.26513631108880686
emissionprobs	6	2	H3K27ME3	0	0.9968830943946511
emissionprobs	6	2	H3K27ME3	1	0.003116905605348939
emissionprobs	6	3	H3K36ME3	0	0.9098378843066347
emissionprobs	6	3	H3K36ME3	1	0.09016211569336532
emissionprobs	6	4	H3K4ME1	0	0.5912439862973038
emissionprobs	6	4	H3K4ME1	1	0.4087560137026963
emissionprobs	6	5	H3K4ME2	0	0.8513740273167206
emissionprobs	6	5	H3K4ME2	1	0.14862597268327934
emissionprobs	6	6	H3K79ME2	0	0.848341354381115
emissionprobs	6	6	H3K79ME2	1	0.151658645618885
emissionprobs	6	7	H3K9AC	0	0.9246114589437495
emissionprobs	6	7	H3K9AC	1	0.07538854105625047
emissionprobs	6	8	H3K9ME3	0	0.9909742816071101
emissionprobs	6	8	H3K9ME3	1	0.009025718392889853
emissionprobs	6	9	H4K20ME1	0	0.9887075484123274
emissionprobs	6	9	H4K20ME1	1	0.01129245158767256
emissionprobs	7	0	H2AFZ	0	0.8660814294127683
emissionprobs	7	0	H2AFZ	1	0.1339185705872316
emissionprobs	7	1	H3K27AC	0	0.9286293188431561
emissionprobs	7	1	H3K27AC	1	0.07137068115684372
emissionprobs	7	2	H3K27ME3	0	0.9888702300688595
emissionprobs	7	2	H3K27ME3	1	0.011129769931140574
emissionprobs	7	3	H3K36ME3	0	0.9978363807942114
emissionprobs	7	3	H3K36ME3	1	0.002163619205788485
emissionprobs	7	4	H3K4ME1	0	0.5593059817510743
emissionprobs	7	4	H3K4ME1	1	0.4406940182489257
emissionprobs	7	5	H3K4ME2	0	0.8159112884293284
emissionprobs	7	5	H3K4ME2	1	0.1840887115706716
emissionprobs	7	6	H3K79ME2	0	0.9968163577100295
emissionprobs	7	6	H3K79ME2	1	0.003183642289970516
emissionprobs	7	7	H3K9AC	0	0.9754696770728523
emissionprobs	7	7	H3K9AC	1	0.02453032292714771
emissionprobs	7	8	H3K9ME3	0	0.9926448174589992
emissionprobs	7	8	H3K9ME3	1	0.007355182541000734
emissionprobs	7	9	H4K20ME1	0	0.9982577626904157
emissionprobs	7	9	H4K20ME1	1	0.0017422373095844139
emissionprobs	8	0	H2AFZ	0	0.6721022084678876
emissionprobs	8	0	H2AFZ	1	0.32789779153211235
emissionprobs	8	1	H3K27AC	0	0.11413046999167184
emissionprobs	8	1	H3K27AC	1	0.8858695300083282
emissionprobs	8	2	H3K27ME3	0	0.989194963476673
emissionprobs	8	2	H3K27ME3	1	0.01080503652332701
emissionprobs	8	3	H3K36ME3	0	0.9897418808294846
emissionprobs	8	3	H3K36ME3	1	0.010258119170515417
emissionprobs	8	4	H3K4ME1	0	0.1960238772637517
emissionprobs	8	4	H3K4ME1	1	0.8039761227362482
emissionprobs	8	5	H3K4ME2	0	0.22900674485210748
emissionprobs	8	5	H3K4ME2	1	0.7709932551478925
emissionprobs	8	6	H3K79ME2	0	0.9782633811443618
emissionprobs	8	6	H3K79ME2	1	0.021736618855638223
emissionprobs	8	7	H3K9AC	0	0.5549763376214931
emissionprobs	8	7	H3K9AC	1	0.4450236623785069
emissionprobs	8	8	H3K9ME3	0	0.9882718270653673
emissionprobs	8	8	H3K9ME3	1	0.011728172934632727
emissionprobs	8	9	H4K20ME1	0	0.9945566927113091
emissionprobs	8	9	H4K20ME1	1	0.0054433072886909085
emissionprobs	9	0	H2AFZ	0	0.1256869165426424
emissionprobs	9	0	H2AFZ	1	0.8743130834573576
emissionprobs	9	1	H3K27AC	0	0.2799526058322086
emissionprobs	9	1	H3K27AC	1	0.7200473941677914
emissionprobs	9	2	H3K27ME3	0	0.9938440463335635
emissionprobs	9	2	H3K27ME3	1	0.0061559536664365306
emissionprobs	9	3	H3K36ME3	0	0.9996470712762896
emissionprobs	9	3	H3K36ME3	1	3.5292872371046045E-4
emissionprobs	9	4	H3K4ME1	0	0.8826621969879046
emissionprobs	9	4	H3K4ME1	1	0.11733780301209536
emissionprobs	9	5	H3K4ME2	0	0.18998056275167108
emissionprobs	9	5	H3K4ME2	1	0.810019437248329
emissionprobs	9	6	H3K79ME2	0	0.9247617039511168
emissionprobs	9	6	H3K79ME2	1	0.07523829604888325
emissionprobs	9	7	H3K9AC	0	0.06154328071356221
emissionprobs	9	7	H3K9AC	1	0.9384567192864378
emissionprobs	9	8	H3K9ME3	0	0.9901530335284572
emissionprobs	9	8	H3K9ME3	1	0.00984696647154274
emissionprobs	9	9	H4K20ME1	0	0.9993651333171096
emissionprobs	9	9	H4K20ME1	1	6.348666828903621E-4
emissionprobs	10	0	H2AFZ	0	0.45928297340127167
emissionprobs	10	0	H2AFZ	1	0.5407170265987283
emissionprobs	10	1	H3K27AC	0	0.23760182717629474
emissionprobs	10	1	H3K27AC	1	0.7623981728237054
emissionprobs	10	2	H3K27ME3	0	0.98826218961953
