State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
1	0.9598773581701376	0.025132114015544015	0.006341044268322679	2.4531678513069915E-4	0.0	0.007965245260303736	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.389215005612133E-4	0.0
2	0.008747908535234222	0.9600006816923512	0.008571551336147853	3.292979440137899E-4	0.0	0.014132862140607525	0.0021588139827456387	2.644125643040123E-4	2.478340221573888E-4	0.0	0.001244237956064492	0.0031438545491990276	1.2134897970393323E-4	0.0010371962974709168	0.0
3	0.005474408469505529	0.020593587977964203	0.9255759566204093	0.044758322576823	8.081861796997065E-4	0.002490772630994029	0.0	0.0	0.0	1.517422206081669E-4	2.0882249359296626E-5	0.0	0.0	1.2298732208112356E-4	3.1537525556908843E-6
4	7.422805550171169E-4	0.002547276329764307	0.1674501222353161	0.7159184714950211	0.06897746165518398	0.010590762738029998	0.0	0.0	1.7800220730553116E-4	0.03214364454234845	0.0014222391068119224	0.0	1.0858208261148873E-6	2.8653314375574318E-5	0.0
5	5.4274765344034414E-5	0.0	0.010903647267045569	0.18725014910880972	0.6844186670558023	0.0481605774932614	0.0	0.027464402047822686	0.0	0.04174828226191414	0.0	0.0	0.0	0.0	0.0
6	0.02574559238277164	0.12992588372631675	0.009373444639547585	0.012612392888689993	0.01885976385002499	0.7282694694996461	0.0	0.06503234665145978	0.004251066912562816	0.005298768555703804	0.0	0.0	0.0	6.31270893276419E-4	0.0
7	0.0	0.007979447017590832	0.0	0.0	0.0	0.0	0.7271636770274584	0.07215012125069002	0.0	0.0	0.004504498608894179	0.18663333062144186	0.0	7.217209763209586E-4	8.472044976037209E-4
8	0.0	0.0021598177649592297	0.0	0.0	0.011248163306329273	0.06840691794902544	0.19252970338421524	0.70050069166416	0.015059647590993121	0.0	0.002552393936770444	0.006258409628005772	0.0	0.0012842547755414883	0.0
9	0.0	0.004037500039457257	4.2821342786448154E-5	3.9582080203019287E-4	0.0	0.010681457648239884	3.083045077620605E-8	0.027146664070520368	0.6743336334372694	0.08248974693911915	0.19072109599991685	0.009975475751399794	0.0	1.7575313880984904E-4	0.0
10	0.0	0.0024000713065964146	7.877420479873471E-4	0.07102417072359088	0.032887443317690855	0.008996918178446557	0.0	0.0	0.08016964393340657	0.7833975096058831	0.017440196845416762	7.015737511979943E-5	0.0	0.002826146665861741	0.0
11	0.0	0.010838895729752256	4.9505501160770037E-5	0.0013229429405235077	0.0	0.0	0.013448883738417463	0.0024571731486582597	0.08991358935350818	0.009122624082018542	0.646867301508852	0.1654755627879317	0.0033617903228748574	9.149045130419687E-4	0.05622682637326035
12	0.0	6.467063246751222E-4	0.0	0.0	0.0	0.0	0.010602012491970656	1.4091667777525168E-4	1.0834665243274847E-4	4.998172198702188E-6	0.0038258982486931545	0.9781511996276473	5.957220757020976E-4	6.074383193638888E-4	0.005316761409540977
13	0.0	2.3436803735215586E-5	0.0	4.833232653963629E-7	0.0	2.8265002278811376E-8	0.0	0.0	0.0	0.0	8.133561484896198E-5	6.687679222202324E-4	0.9986245851467435	6.013629241842833E-4	0.0
14	0.0021500691529472305	0.01405881310902835	4.983108771776076E-4	5.008592382480414E-5	0.0	6.719408166511784E-4	0.0018626569942579781	0.0013426015557979158	1.4759464285383171E-4	0.0020642377104967504	0.001014339327064873	0.040593446262558425	0.03455165338660776	0.8995919217458813	0.0014023284948520712
15	0.0	0.0	2.466608974743656E-6	0.0	0.0	0.0	2.5573949520712753E-4	0.0	0.0	0.0	0.006976349521512863	0.02885945683059823	1.0884582608990591E-7	1.2129133632261005E-4	0.9637845873615584
